policy,label,start_s,end_s,cg_numa_hint_faults_delta,cg_numa_pte_updates_delta,cg_pgpromote_success_delta,cg_pgdemote_direct_delta,cg_pgdemote_kswapd_delta,pte_updates_gib_delta,promote_gib_delta,demote_gib_delta
on,on,211.294,216.315,938151,930408,105948,167785,0,3.549224853515625,0.4041595458984375,0.6400489807128906
on,on,216.315,221.336,0,347979,0,18,0,1.3274345397949219,0.0,6.866455078125e-05
on,on,221.336,226.362,92343,219290,83143,22305,0,0.8365249633789062,0.3171653747558594,0.08508682250976562
on,on,226.362,231.419,444726,645696,144747,143730,0,2.463134765625,0.5521659851074219,0.5482864379882812
on,on,231.419,236.451,776304,414160,137359,148429,0,1.57989501953125,0.5239830017089844,0.5662117004394531
on,on,236.451,241.508,884905,874097,386270,447836,0,3.3344154357910156,1.4735031127929688,1.7083587646484375
on,on,241.508,246.537,11319,2111160,10286,965491,0,8.053436279296875,0.03923797607421875,3.683055877685547
on,on,246.537,251.561,470473,559996,427703,488939,0,2.1362152099609375,1.6315574645996094,1.8651542663574219
on,on,251.561,256.587,95194,1551198,86515,0,0,5.917350769042969,0.3300285339355469,0.0
on,on,256.587,261.611,1015114,930507,530771,0,0,3.549602508544922,2.024730682373047,0.0
on,on,261.611,266.638,0,538423,0,0,0,2.0539207458496094,0.0,0.0
on,on,266.638,271.67,1453847,374724,369989,0,0,1.4294586181640625,1.4113960266113281,0.0
on,on,271.67,276.705,1776,56625,58,0,0,0.21600723266601562,0.00022125244140625,0.0
on,on,276.705,281.731,573084,786432,298136,196352,0,3.0,1.137298583984375,0.7490234375
on,on,281.731,286.758,964636,342230,250010,461760,0,1.3055038452148438,0.9537124633789062,1.761474609375
on,on,286.758,291.785,0,207369,0,45760,0,0.7910499572753906,0.0,0.174560546875
on,on,291.785,296.808,422049,401396,383684,156353,0,1.5312042236328125,1.4636383056640625,0.5964393615722656
on,on,296.808,301.834,2118073,312555,122179,522688,0,1.1923027038574219,0.4660758972167969,1.993896484375
on,on,301.834,306.865,4049141,1823460,356300,100864,0,6.9559478759765625,1.3591766357421875,0.384765625
on,on,306.865,311.929,305825,919976,273918,110848,0,3.509429931640625,1.0449142456054688,0.4228515625
on,on,311.929,316.955,1581188,1696709,311481,300416,0,6.472431182861328,1.1882057189941406,1.14599609375
on,on,316.955,322.019,1742219,1750324,172803,182787,0,6.6769561767578125,0.6591911315917969,0.6972770690917969
on,on,322.019,327.055,1327609,830666,205746,214139,0,3.1687393188476562,0.7848587036132812,0.8168754577636719
on,on,327.055,332.079,29284,529662,85,2780,0,2.0205001831054688,0.000324249267578125,0.0106048583984375
on,on,332.079,337.106,252046,647986,73339,65115,0,2.4718704223632812,0.2797660827636719,0.24839401245117188
on,on,337.106,342.168,1026457,756492,156426,147154,0,2.8857879638671875,0.5967178344726562,0.5613479614257812
on,on,342.168,347.232,1159182,1382347,157465,152773,0,5.273235321044922,0.6006813049316406,0.5827827453613281
on,on,347.232,352.266,1135426,1088030,157224,157378,0,4.150505065917969,0.599761962890625,0.6003494262695312
on,on,352.266,357.298,706759,369096,88149,164840,0,1.407989501953125,0.3362617492675781,0.628814697265625
on,on,357.298,362.358,12,3,1,86383,0,1.1444091796875e-05,3.814697265625e-06,0.3295249938964844
on,on,362.358,367.422,6,7,6,0,0,2.6702880859375e-05,2.288818359375e-05,0.0
oracle_cgroup_global0,Miracle,0.048,5.074,263172,2395918,239243,0,0,9.139701843261719,0.9126396179199219,0.0
oracle_cgroup_global0,Miracle,5.074,10.099,0,2883584,0,0,0,11.0,0.0,0.0
oracle_cgroup_global0,Miracle,10.099,15.136,0,2818048,0,0,0,10.75,0.0,0.0
oracle_cgroup_global0,Miracle,15.136,20.193,913326,3211264,388615,265792,0,12.25,1.4824485778808594,1.013916015625
oracle_cgroup_global0,Miracle,20.193,25.227,175424,2134605,13096,331265,0,8.142871856689453,0.049957275390625,1.2636756896972656
oracle_cgroup_global0,Miracle,25.227,30.261,1547977,498634,453999,152576,0,1.9021377563476562,1.7318687438964844,0.58203125
oracle_cgroup_global0,Miracle,30.261,35.297,0,559588,0,199232,0,2.1346588134765625,0.0,0.760009765625
oracle_cgroup_global0,Miracle,35.297,40.323,476263,522240,432960,230592,0,1.9921875,1.651611328125,0.879638671875
oracle_cgroup_global0,Miracle,40.323,45.346,960667,792315,458287,876800,0,3.022441864013672,1.7482261657714844,3.3447265625
oracle_cgroup_global0,Miracle,45.346,50.368,0,267862,0,0,0,1.0218124389648438,0.0,0.0
oracle_cgroup_global0,Miracle,50.368,55.389,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,55.389,60.42,1351589,313209,19841,0,0,1.1947975158691406,0.07568740844726562,0.0
oracle_cgroup_global0,Miracle,60.42,65.444,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,65.444,70.468,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,70.468,75.491,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,75.491,80.512,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,80.512,85.531,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,85.531,90.55,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,90.55,95.569,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,95.569,100.593,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,100.593,105.62,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,105.62,110.644,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,110.644,115.667,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,115.667,120.693,2248,42706,2048,0,0,0.16291046142578125,0.0078125,0.0
oracle_cgroup_global0,Miracle,120.693,125.733,0,3041695,0,0,0,11.603145599365234,0.0,0.0
oracle_cgroup_global0,Miracle,125.733,130.764,0,1870214,0,0,0,7.134300231933594,0.0,0.0
oracle_cgroup_global0,Miracle,130.764,135.82,1535517,1049532,675533,276651,0,4.0036468505859375,2.576953887939453,1.0553398132324219
oracle_cgroup_global0,Miracle,135.82,140.86,222780,138566,20722,243278,0,0.5285873413085938,0.07904815673828125,0.9280319213867188
oracle_cgroup_global0,Miracle,140.86,145.881,472000,671492,429089,223488,0,2.5615386962890625,1.6368446350097656,0.8525390625
oracle_cgroup_global0,Miracle,145.881,150.901,832745,879208,377793,633408,0,3.353912353515625,1.4411659240722656,2.416259765625
oracle_cgroup_global0,Miracle,150.901,155.924,0,492924,0,0,0,1.8803558349609375,0.0,0.0
oracle_cgroup_global0,Miracle,155.924,160.95,541902,513583,492640,254080,0,1.9591636657714844,1.8792724609375,0.96923828125
oracle_cgroup_global0,Miracle,160.95,165.981,770884,306494,21029,189312,0,1.1691818237304688,0.08021926879882812,0.72216796875
oracle_cgroup_global0,Miracle,165.981,171.016,0,140017,0,0,0,0.5341224670410156,0.0,0.0
oracle_cgroup_global0,Miracle,171.016,176.076,832110,812482,673971,468289,0,3.0993728637695312,2.570995330810547,1.7863807678222656
oracle_cgroup_global0,Miracle,176.076,181.108,4862786,91271,47765,472256,0,0.3481712341308594,0.18220901489257812,1.801513671875
oracle_cgroup_global0,Miracle,181.108,186.131,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,186.131,191.156,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,191.156,196.176,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,196.176,201.195,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,201.195,206.218,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,206.218,211.244,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,211.244,216.267,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,216.267,221.29,0,0,0,0,0,0.0,0.0,0.0
