case,label,policy,period_ms,fast_scan,time_s,mops_s
p1000_nofast,1000ms no-fast,on,1000,0,50.0,143.01149149149148
p1000_nofast,1000ms no-fast,on,1000,0,51.0,145.48992
p1000_nofast,1000ms no-fast,on,1000,0,52.0,98.041856
p1000_nofast,1000ms no-fast,on,1000,0,53.0,171.442176
p1000_nofast,1000ms no-fast,on,1000,0,54.0,101.711872
p1000_nofast,1000ms no-fast,on,1000,0,55.0,125.82912
p1000_nofast,1000ms no-fast,on,1000,0,56.0,137.887744
p1000_nofast,1000ms no-fast,on,1000,0,57.0,177.471488
p1000_nofast,1000ms no-fast,on,1000,0,58.0,175.63648
p1000_nofast,1000ms no-fast,on,1000,0,59.0,149.159936
p1000_nofast,1000ms no-fast,on,1000,0,60.0,130.285568
p1000_nofast,1000ms no-fast,on,1000,0,61.0,160.694272
p1000_nofast,1000ms no-fast,on,1000,0,62.001,218.67156843156843
p1000_nofast,1000ms no-fast,on,1000,0,63.0,245.8748028028028
p1000_nofast,1000ms no-fast,on,1000,0,64.0,310.64064
p1000_nofast,1000ms no-fast,on,1000,0,65.0,314.5728
p1000_nofast,1000ms no-fast,on,1000,0,66.004,213.84057370517928
p1000_nofast,1000ms no-fast,on,1000,0,67.0,216.3477590361446
p1000_nofast,1000ms no-fast,on,1000,0,68.0,301.989888
p1000_nofast,1000ms no-fast,on,1000,0,69.001,243.02660539460544
p1000_nofast,1000ms no-fast,on,1000,0,70.0,289.17185985985986
p1000_nofast,1000ms no-fast,on,1000,0,71.0,231.735296
p1000_nofast,1000ms no-fast,on,1000,0,72.0,278.134784
p1000_nofast,1000ms no-fast,on,1000,0,73.0,226.492416
p1000_nofast,1000ms no-fast,on,1000,0,74.0,309.067776
p1000_nofast,1000ms no-fast,on,1000,0,75.0,208.928768
p1000_nofast,1000ms no-fast,on,1000,0,76.0,246.153216
p1000_nofast,1000ms no-fast,on,1000,0,77.0,194.772992
p1000_nofast,1000ms no-fast,on,1000,0,78.0,180.617216
p1000_nofast,1000ms no-fast,on,1000,0,79.0,279.707648
p1000_nofast,1000ms no-fast,on,1000,0,80.0,229.638144
p1000_nofast,1000ms no-fast,on,1000,0,81.001,266.3341138861139
p1000_nofast,1000ms no-fast,on,1000,0,82.0,247.18683483483485
p1000_nofast,1000ms no-fast,on,1000,0,83.0,190.0544
p1000_nofast,1000ms no-fast,on,1000,0,84.0,228.06528
p1000_nofast,1000ms no-fast,on,1000,0,85.0,325.582848
p1000_nofast,1000ms no-fast,on,1000,0,86.0,231.99744
p1000_nofast,1000ms no-fast,on,1000,0,87.0,328.466432
p1000_nofast,1000ms no-fast,on,1000,0,88.0,244.318208
p1000_nofast,1000ms no-fast,on,1000,0,89.0,357.302272
p1000_nofast,1000ms no-fast,on,1000,0,90.0,199.22944
p1000_nofast,1000ms no-fast,on,1000,0,91.0,385.613824
p1000_nofast,1000ms no-fast,on,1000,0,92.0,216.2688
p1000_nofast,1000ms no-fast,on,1000,0,93.001,371.0869610389611
p1000_nofast,1000ms no-fast,on,1000,0,94.0,163.4791911911912
p1000_nofast,1000ms no-fast,on,1000,0,95.0,339.738624
p1000_nofast,1000ms no-fast,on,1000,0,96.0,227.016704
p1000_nofast,1000ms no-fast,on,1000,0,97.0,378.535936
p1000_nofast,1000ms no-fast,on,1000,0,98.0,239.337472
p1000_nofast,1000ms no-fast,on,1000,0,99.0,234.881024
p1000_nofast,1000ms no-fast,on,1000,0,100.0,340.262912
p1000_nofast,1000ms no-fast,on,1000,0,101.0,270.532608
p1000_nofast,1000ms no-fast,on,1000,0,102.0,334.2336
p1000_nofast,1000ms no-fast,on,1000,0,103.0,288.882688
p1000_nofast,1000ms no-fast,on,1000,0,104.0,264.241152
p1000_nofast,1000ms no-fast,on,1000,0,105.001,334.16158241758245
p1000_nofast,1000ms no-fast,on,1000,0,106.0,294.9448008008008
p1000_nofast,1000ms no-fast,on,1000,0,107.0,337.117184
p1000_nofast,1000ms no-fast,on,1000,0,108.001,266.59599600399605
p1000_nofast,1000ms no-fast,on,1000,0,109.0,286.2853893893894
p1000_nofast,1000ms no-fast,on,1000,0,110.0,357.040128
p1000_nofast,1000ms no-fast,on,1000,0,111.0,185.860096
p1000_nofast,1000ms no-fast,on,1000,0,112.0,371.720192
p1000_nofast,1000ms no-fast,on,1000,0,113.001,248.00236563436565
p1000_nofast,1000ms no-fast,on,1000,0,114.0,280.250042042042
p1000_nofast,1000ms no-fast,on,1000,0,115.0,242.221056
p1000_nofast,1000ms no-fast,on,1000,0,116.0,289.66912
p1000_nofast,1000ms no-fast,on,1000,0,117.003,202.2925782652044
p1000_nofast,1000ms no-fast,on,1000,0,118.0,166.9623269809428
p1000_nofast,1000ms no-fast,on,1000,0,119.0,136.052736
p1000_nofast,1000ms no-fast,on,1000,0,120.0,179.56864
p1000_nofast,1000ms no-fast,on,1000,0,121.0,162.791424
p1000_nofast,1000ms no-fast,on,1000,0,122.0,169.08288
p1000_nofast,1000ms no-fast,on,1000,0,123.0,188.74368
p1000_nofast,1000ms no-fast,on,1000,0,124.0,161.480704
p1000_nofast,1000ms no-fast,on,1000,0,125.0,145.752064
p1000_nofast,1000ms no-fast,on,1000,0,126.001,162.36691308691312
p1000_nofast,1000ms no-fast,on,1000,0,127.0,174.50026026026026
p1000_nofast,1000ms no-fast,on,1000,0,128.0,246.153216
p1000_nofast,1000ms no-fast,on,1000,0,129.0,347.865088
p1000_nofast,1000ms no-fast,on,1000,0,130.001,280.2138661338662
p1000_nofast,1000ms no-fast,on,1000,0,131.0,305.9658698698699
p1000_nofast,1000ms no-fast,on,1000,0,132.0,278.134784
p1000_nofast,1000ms no-fast,on,1000,0,133.0,311.164928
p1000_nofast,1000ms no-fast,on,1000,0,134.0,330.825728
p1000_nofast,1000ms no-fast,on,1000,0,135.001,180.43677922077924
p1000_nofast,1000ms no-fast,on,1000,0,136.0,329.84485285285285
p1000_nofast,1000ms no-fast,on,1000,0,137.0,374.86592
p1000_nofast,1000ms no-fast,on,1000,0,138.0,229.638144
p1000_nofast,1000ms no-fast,on,1000,0,139.0,402.653184
p1000_nofast,1000ms no-fast,on,1000,0,140.001,246.43107292707293
p1000_nofast,1000ms no-fast,on,1000,0,141.0,316.4621261261261
p1000_nofast,1000ms no-fast,on,1000,0,142.0,349.437952
p1000_nofast,1000ms no-fast,on,1000,0,143.0,334.2336
p1000_nofast,1000ms no-fast,on,1000,0,144.0,316.145664
p1000_nofast,1000ms no-fast,on,1000,0,145.0,195.035136
p1000_nofast,1000ms no-fast,on,1000,0,146.001,197.4591168831169
p1000_nofast,1000ms no-fast,on,1000,0,147.0,330.3696656656657
p1000_nofast,1000ms no-fast,on,1000,0,148.0,342.884352
p1000_nofast,1000ms no-fast,on,1000,0,149.0,197.132288
p1000_nofast,1000ms no-fast,on,1000,0,150.0,338.690048
p1000_nofast,1000ms no-fast,on,1000,0,151.0,215.744512
p1000_nofast,1000ms no-fast,on,1000,0,152.0,250.34752
p1000_nofast,1000ms no-fast,on,1000,0,153.0,339.738624
p1000_nofast,1000ms no-fast,on,1000,0,154.0,230.948864
p1000_nofast,1000ms no-fast,on,1000,0,155.0,341.573632
p1000_nofast,1000ms no-fast,on,1000,0,156.0,333.185024
p1000_nofast,1000ms no-fast,on,1000,0,157.0,250.609664
p1000_nofast,1000ms no-fast,on,1000,0,158.001,418.74950649350654
p1000_nofast,1000ms no-fast,on,1000,0,159.0,191.5566766766767
p1000_nofast,1000ms no-fast,on,1000,0,160.0,359.13728
p1000_nofast,1000ms no-fast,on,1000,0,161.0,316.145664
p1000_nofast,1000ms no-fast,on,1000,0,162.0,392.953856
p1000_nofast,1000ms no-fast,on,1000,0,163.0,273.154048
p1000_nofast,1000ms no-fast,on,1000,0,164.0,391.118848
p1000_nofast,1000ms no-fast,on,1000,0,165.0,190.0544
p1000_nofast,1000ms no-fast,on,1000,0,166.0,349.437952
p1000_nofast,1000ms no-fast,on,1000,0,167.0,325.844992
p1000_nofast,1000ms no-fast,on,1000,0,168.0,298.057728
p1000_nofast,1000ms no-fast,on,1000,0,169.0,356.253696
p1000_nofast,1000ms no-fast,on,1000,0,170.003,282.79143369890335
p1000_nofast,1000ms no-fast,on,1000,0,171.0,334.7134523570712
p1000_nofast,1000ms no-fast,on,1000,0,172.0,334.495744
p1000_nofast,1000ms no-fast,on,1000,0,173.001,295.66491108891114
p1000_nofast,1000ms no-fast,on,1000,0,174.0,370.51784584584584
p1000_nofast,1000ms no-fast,on,1000,0,175.0,249.298944
p1000_nofast,1000ms no-fast,on,1000,0,176.0,365.428736
p1000_nofast,1000ms no-fast,on,1000,0,177.0,285.999104
p1000_nofast,1000ms no-fast,on,1000,0,178.0,324.796416
p1000_nofast,1000ms no-fast,on,1000,0,179.001,377.1102497502498
p1000_nofast,1000ms no-fast,on,1000,0,180.0,283.3989189189189
p1000_nofast,1000ms no-fast,on,1000,0,181.0,258.21184
p1000_nofast,1000ms no-fast,on,1000,0,182.0,364.38016
p1000_nofast,1000ms no-fast,on,1000,0,183.0,356.253696
p1000_nofast,1000ms no-fast,on,1000,0,184.0,281.8048
p1000_nofast,1000ms no-fast,on,1000,0,185.0,291.504128
p1000_nofast,1000ms no-fast,on,1000,0,186.0,209.7152
p1000_nofast,1000ms no-fast,on,1000,0,187.0,221.773824
p1000_nofast,1000ms no-fast,on,1000,0,188.003,194.7131405782652
p1000_nofast,1000ms no-fast,on,1000,0,189.0,205.3505155466399
p1000_nofast,1000ms no-fast,on,1000,0,190.0,198.180864
p1000_nofast,1000ms no-fast,on,1000,0,191.003,192.0995413758724
p1000_nofast,1000ms no-fast,on,1000,0,192.0,209.55744032096288
p1000_nofast,1000ms no-fast,on,1000,0,193.0,195.821568
p1000_nofast,1000ms no-fast,on,1000,0,194.0,189.792256
p1000_nofast,1000ms no-fast,on,1000,0,195.0,205.78304
p1000_nofast,1000ms no-fast,on,1000,0,196.0,204.47232
p1000_nofast,1000ms no-fast,on,1000,0,197.0,198.705152
p1000_nofast,1000ms no-fast,on,1000,0,198.0,187.170816
p1000_nofast,1000ms no-fast,on,1000,0,199.0,207.09376
p1000_nofast,1000ms no-fast,on,1000,0,200.0,197.91872
p500_fast,500ms fast,on,500,1,1.001,395.7038801198801
p500_fast,500ms fast,on,500,1,2.0,233.2792952952953
p500_fast,500ms fast,on,500,1,3.0,295.960576
p500_fast,500ms fast,on,500,1,4.0,246.677504
p500_fast,500ms fast,on,500,1,5.0,353.370112
p500_fast,500ms fast,on,500,1,6.001,383.3954205794206
p500_fast,500ms fast,on,500,1,7.0,284.1861381381381
p500_fast,500ms fast,on,500,1,8.0,275.513344
p500_fast,500ms fast,on,500,1,9.0,328.466432
p500_fast,500ms fast,on,500,1,10.0,253.493248
p500_fast,500ms fast,on,500,1,11.001,380.7765994005994
p500_fast,500ms fast,on,500,1,12.0,308.85234034034033
p500_fast,500ms fast,on,500,1,13.0,296.747008
p500_fast,500ms fast,on,500,1,14.0,309.32992
p500_fast,500ms fast,on,500,1,15.0,138.149888
p500_fast,500ms fast,on,500,1,16.0,147.587072
p500_fast,500ms fast,on,500,1,17.0,154.66496
p500_fast,500ms fast,on,500,1,18.0,335.020032
p500_fast,500ms fast,on,500,1,19.001,285.97527272727274
p500_fast,500ms fast,on,500,1,20.0,390.1983263263263
p500_fast,500ms fast,on,500,1,21.0,247.72608
p500_fast,500ms fast,on,500,1,22.0,285.474816
p500_fast,500ms fast,on,500,1,23.0,285.999104
p500_fast,500ms fast,on,500,1,24.0,340.262912
p500_fast,500ms fast,on,500,1,25.0,330.825728
p500_fast,500ms fast,on,500,1,26.0,327.942144
p500_fast,500ms fast,on,500,1,27.0,225.705984
p500_fast,500ms fast,on,500,1,28.0,305.659904
p500_fast,500ms fast,on,500,1,29.0,205.258752
p500_fast,500ms fast,on,500,1,30.001,322.115004995005
p500_fast,500ms fast,on,500,1,31.0,283.9237317317317
p500_fast,500ms fast,on,500,1,32.0,254.017536
p500_fast,500ms fast,on,500,1,33.0,333.971456
p500_fast,500ms fast,on,500,1,34.0,276.299776
p500_fast,500ms fast,on,500,1,35.0,128.45056
p500_fast,500ms fast,on,500,1,36.001,178.86548651348653
p500_fast,500ms fast,on,500,1,37.0,417.750998998999
p500_fast,500ms fast,on,500,1,38.0,281.542656
p500_fast,500ms fast,on,500,1,39.0,346.816512
