timestamp,elapsed_s,node_balancing,memory_current,anon_n0,anon_n1,file_n0,file_n1,active_file_n0,active_file_n1,inactive_file_n0,inactive_file_n1,pagetables_n0,pagetables_n1,numa_hint_faults,numa_pages_migrated,pgpromote_success,pgdemote_kswapd,pgdemote_direct,local_pte_updates,local_refault,local_refault_hit,local_lost
2026-05-21T05:25:24Z,242,2,74002657280,8013225984,30171541504,0,35709186048,0,16384,0,35708952576,0,0,34803351,12445241,12445241,0,22492749,0,0,0,0
2026-05-21T05:25:30Z,248,2,74002657280,8016048128,30168719360,0,35709186048,0,16384,0,35708952576,0,0,36819136,12445930,12445930,0,22492749,0,0,0,0
2026-05-21T05:25:35Z,253,2,74002530304,8023605248,30161162240,0,35709186048,0,16384,0,35708952576,0,0,36820981,12447775,12447775,0,22492749,0,0,0,0
2026-05-21T05:25:40Z,258,2,74002530304,8099827712,30084939776,0,35709186048,0,16384,0,35708952576,0,0,36992845,12466384,12466384,0,22492749,0,0,0,0
2026-05-21T05:25:46Z,264,2,74002530304,8099827712,30084939776,0,35709186048,0,16384,0,35708952576,0,0,37784374,12466384,12466384,0,22492749,0,0,0,0
2026-05-21T05:25:51Z,269,2,74002530304,7995592704,30188732416,0,35709186048,0,16384,0,35708952576,0,0,38527786,12818233,12818233,0,22878890,0,0,0,0
2026-05-21T05:25:56Z,274,2,74002530304,7797055488,30387437568,0,35709186048,0,16384,0,35708952576,0,0,38527786,12818233,12818233,0,22918450,0,0,0,0
2026-05-21T05:26:02Z,280,2,74005602304,8054878208,30129618944,0,35709186048,0,16384,0,35708952576,0,0,38527793,12818233,12818233,0,23011698,0,0,0,0
2026-05-21T05:26:07Z,285,2,74005602304,8055148544,30129618944,0,35709186048,0,16384,0,35708952576,0,0,39965231,12818233,12818233,0,23011698,0,0,0,0
2026-05-21T05:26:12Z,290,2,74005602304,8467431424,29717286912,0,35709186048,0,16384,0,35708952576,0,0,41845032,13144377,13144377,0,23237746,0,0,0,0
2026-05-21T05:26:18Z,296,2,74005602304,7967903744,30216863744,0,35709186048,0,16384,0,35708952576,0,0,41845236,13144581,13144581,0,23359346,0,0,0,0
2026-05-21T05:26:23Z,301,2,74005602304,7967903744,30216863744,0,35709186048,0,16384,0,35708952576,0,0,41845236,13144581,13144581,0,23359346,0,0,0,0
2026-05-21T05:26:28Z,306,2,74005602304,7967903744,30216863744,0,35709186048,0,16384,0,35708952576,0,0,42084135,13144581,13144581,0,23359346,0,0,0,0
2026-05-21T05:26:34Z,312,2,74005602304,8014659584,30170107904,0,35709186048,0,16384,0,35708952576,0,0,44049982,13163669,13163669,0,23359346,0,0,0,0
2026-05-21T05:26:39Z,317,2,74005602304,8162021376,30022746112,0,35709186048,0,16384,0,35708952576,0,0,44205205,13191973,13191973,0,23359346,0,0,0,0
2026-05-21T05:26:44Z,322,2,74005602304,8162021376,30022746112,0,35709186048,0,16384,0,35708952576,0,0,44362782,13191973,13191973,0,23359346,0,0,0,0
2026-05-21T05:26:50Z,328,2,74005602304,8162021376,30022746112,0,35709186048,0,16384,0,35708952576,0,0,44609705,13191973,13191973,0,23359346,0,0,0,0
2026-05-21T05:26:55Z,333,2,74005602304,8589938688,29594828800,0,35709186048,0,16384,0,35708952576,0,0,46601705,13339924,13340667,0,23415730,0,0,0,0
2026-05-21T05:27:00Z,338,2,74005602304,8067153920,30117613568,0,35709186048,0,16384,0,35708952576,0,0,46910437,13647212,13647212,0,23837746,0,0,0,0
2026-05-21T05:27:06Z,344,2,74005602304,8067153920,30117613568,0,35709186048,0,16384,0,35708952576,0,0,46910437,13647212,13647212,0,23837746,0,0,0,0
2026-05-21T05:27:11Z,349,2,74005602304,8067153920,30117613568,0,35709186048,0,16384,0,35708952576,0,0,46910437,13647212,13647212,0,23837746,0,0,0,0
2026-05-21T05:27:17Z,355,2,74005602304,8067153920,30117613568,0,35709186048,0,16384,0,35708952576,0,0,48792158,13647212,13647212,0,23837746,0,0,0,0
2026-05-21T05:27:22Z,360,2,74005602304,8519692288,29664854016,0,35709186048,0,16384,0,35708952576,0,0,50334940,14182181,14182181,0,24279218,0,0,0,0
2026-05-21T05:27:28Z,366,2,74002644992,8052117504,30132649984,0,35709186048,0,16384,0,35708952576,0,0,50335355,14182589,14182589,0,24526898,0,0,0,0
2026-05-21T05:27:33Z,371,2,74002644992,8052117504,30132649984,0,35709186048,0,16384,0,35708952576,0,0,50335355,14182589,14182589,0,24526898,0,0,0,0
2026-05-21T05:27:38Z,376,2,74002644992,8177491968,30007275520,0,35709186048,0,16384,0,35708952576,0,0,51318914,14307790,14307790,0,24723927,0,0,0,0
2026-05-21T05:27:44Z,382,2,74002644992,7704432640,30480334848,0,35709186048,0,16384,0,35708952576,0,0,51725043,14307790,14307790,0,24736983,0,0,0,0
2026-05-21T05:27:49Z,387,2,74002644992,8565317632,29619200000,0,35709186048,0,16384,0,35708952576,0,0,52678647,14551225,14551225,0,24769687,0,0,0,0
2026-05-21T05:27:54Z,392,2,74005454848,7718993920,30465773568,0,35709292544,0,16384,0,35708952576,0,0,52908378,14780983,14780983,0,25206621,0,0,0,0
2026-05-21T05:28:00Z,398,2,74005454848,8575578112,29609050112,0,35709292544,0,16384,0,35708952576,0,0,54080689,15082715,15082715,0,25304349,0,0,0,0
2026-05-21T05:28:05Z,403,2,74005454848,8044929024,30139838464,0,35709292544,0,16384,0,35708952576,0,0,54508860,15339469,15339469,0,25685533,0,0,0,0
2026-05-21T05:28:10Z,408,2,74005454848,8067350528,30117416960,0,35709292544,0,16384,0,35708952576,0,0,54990557,15696239,15696239,0,26036829,0,0,0,0
2026-05-21T05:28:16Z,414,2,74005454848,8209018880,29975748608,0,35709292544,0,16384,0,35708952576,0,0,56168279,15940104,15940104,0,26246107,0,0,0,0
2026-05-21T05:28:21Z,419,2,74002497536,7686516736,30498238464,0,35709292544,0,16384,0,35708952576,0,0,56168279,15940104,15940104,0,26424723,0,0,0,0
2026-05-21T05:28:26Z,424,2,74002497536,8139218944,30045540352,0,35709292544,0,16384,0,35708952576,0,0,57384425,16050626,16050626,0,26424723,0,0,0,0
2026-05-21T05:28:32Z,430,2,74002497536,8139227136,30045540352,0,35709292544,0,16384,0,35708952576,0,0,57384425,16050626,16050626,0,26424723,0,0,0,0
2026-05-21T05:28:37Z,435,2,74002497536,7931117568,30253486080,0,35709292544,0,16384,0,35708952576,0,0,58897251,16156997,16156997,0,26608294,0,0,0,0
2026-05-21T05:28:42Z,440,2,74002497536,7709351936,30475399168,0,35709292544,0,16384,0,35708952576,0,0,58897251,16156997,16156997,0,26636040,0,0,0,0
2026-05-21T05:28:47Z,445,2,74002497536,7794561024,30390206464,0,35709292544,0,16384,0,35708952576,0,0,59170844,16177796,16177796,0,26636040,0,0,0,0
2026-05-21T05:28:53Z,451,2,74002497536,7794561024,30390206464,0,35709292544,0,16384,0,35708952576,0,0,60054839,16177796,16177796,0,26636040,0,0,0,0
2026-05-21T05:28:58Z,456,2,74002497536,7715799040,30468952064,0,35709292544,0,16384,0,35708952576,0,0,60894570,16370044,16370044,0,26847513,0,0,0,0
2026-05-21T05:29:03Z,461,2,37708906496,575488000,1244659712,0,35709292544,0,16384,0,35708952576,0,0,60894577,16370049,16370049,0,26847513,0,0,0,0
