placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,ops_delta,mops_s
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,040-050,40000,50000,5633736704,563.3736703999999
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,050-060,50000,60000,5636096000,563.6096
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,060-070,60000,70001,5634523136,563.3959740025997
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,070-080,70001,80000,5629018112,562.958107010701
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,080-090,80000,90000,5636096000,563.6096
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,090-100,90000,100000,5628231680,562.823168
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,100-110,100000,110000,5636620288,563.6620287999999
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,110-120,110000,120000,5636096000,563.6096
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,120-130,120000,130000,5631901696,563.1901696
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,130-140,130000,140000,5638979584,563.8979584
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,140-150,140000,150000,5629804544,562.9804544
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,150-160,150000,160000,5626658816,562.6658816
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,160-170,160000,170000,5638193152,563.8193152
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,170-180,170000,180000,5639766016,563.9766016
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,180-190,180000,190001,5635571712,563.5008211178882
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,190-200,190001,200000,5634260992,563.4824474447445
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,000-010,0,10000,3210739712,321.07397119999996
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,010-020,10000,20001,1990197248,198.99982481751826
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,020-030,20001,30000,1974730752,197.4928244824482
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,030-040,30000,40000,1997537280,199.753728
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,040-050,40000,50000,1988886528,198.88865280000002
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,050-060,50000,60000,2327576576,232.7576576
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,060-070,60000,70000,3200778240,320.077824
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,070-080,70000,80000,2735210496,273.5210496
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,080-090,80000,90000,2685403136,268.54031360000005
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,090-100,90000,100000,1613496320,161.349632
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,100-110,100000,110000,1587544064,158.7544064
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,110-120,110000,120000,1634729984,163.4729984
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,120-130,120000,130000,1627389952,162.73899519999998
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,130-140,130000,140000,1706295296,170.62952959999998
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,140-150,140000,150000,2235039744,223.5039744
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,150-160,150000,160000,2237923328,223.79233280000003
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,160-170,160000,170001,2230583296,223.0360259974003
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,170-180,170001,180000,2249457664,224.96826322632262
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,180-190,180000,190000,2234515456,223.4515456
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,190-200,190000,200000,2227437568,222.7437568
