placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,hint_faults,pte_updates_pages,pte_updates_gib,promote_pages,promote_gib,demote_direct_pages,demote_direct_gib
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,180-190,180875,190914,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,off,190-200,190914,200956,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,000-010,30,10117,4633966,4560678,17.397606,733077,2.796467,610258,2.327950
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,010-020,10117,20173,2882125,3555446,13.562950,938567,3.580349,700405,2.671833
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,020-030,20173,30234,1718910,934317,3.564137,174116,0.664200,434962,1.659248
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,030-040,30234,40290,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,040-050,40290,50353,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,050-060,50353,60417,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,060-070,60417,70480,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,070-080,70480,80545,250835,228036,0.869888,228035,0.869884,118172,0.450790
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,080-090,80545,90598,1416610,1375570,5.247383,410366,1.565422,328045,1.251392
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,090-100,90598,100686,1999997,2316718,8.837578,373187,1.423595,332813,1.269581
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,100-110,100686,110728,1169587,798504,3.046051,170453,0.650227,244295,0.931911
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,110-120,110728,120773,4,2,0.000008,2,0.000008,24040,0.091705
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,120-130,120773,130822,2,1,0.000004,1,0.000004,21806,0.083183
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,130-140,130822,140862,2,1,0.000004,1,0.000004,22358,0.085289
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,140-150,140862,150906,0,0,0.000000,0,0.000000,22922,0.087440
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,150-160,150906,160950,0,0,0.000000,0,0.000000,12463,0.047543
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,160-170,160950,170998,2,1,0.000004,1,0.000004,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,170-180,170998,181045,0,0,0.000000,0,0.000000,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,180-190,181045,191090,2,1,0.000004,1,0.000004,0,0.000000
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,190-200,191090,201140,2,1,0.000004,1,0.000004,0,0.000000
