placement,placement_label,candidate,policy,time_s,mops_s
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,118.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,119.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,120.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,121.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,122.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,123.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,124.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,125.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,126.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,127.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,128.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,129.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,130.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,131.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,132.0,64.22528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,133.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,134.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,135.003,65.33998005982055
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,136.0,65.4702668004012
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,137.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,138.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,139.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,140.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,141.001,64.423000999001
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,142.0,65.3391951951952
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,143.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,144.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,145.001,63.63735464535465
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,146.0,65.3391951951952
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,147.0,65.798144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,148.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,149.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,150.0,65.273856
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,151.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,152.0,64.749568
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,153.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,154.0,65.536
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,155.0,65.011712
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,156.0,64.487424
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,off,157.0,66.060288
