placement,placement_label,candidate,policy,bucket_s,actual_start_ms,actual_end_ms,ops_delta,mops_s
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,020-030,20000,30000,2767978496,276.7978496
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,030-040,30000,40000,2875457536,287.5457536
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,040-050,40000,50000,1552678912,155.26789119999998
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,050-060,50000,60000,1412956160,141.295616
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,060-070,60000,70000,2514747392,251.4747392
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,070-080,70000,80000,2385248256,238.52482559999999
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,080-090,80000,90000,2618556416,261.8556416
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,090-100,90000,100000,2896429056,289.6429056
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,100-110,100000,110000,3034054656,303.4054656
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,110-120,110000,120000,2302672896,230.2672896
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,120-130,120000,130001,2039218176,203.9014274572543
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,130-140,130001,140001,2989752320,298.975232
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,140-150,140001,150000,2917400576,291.7692345234523
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,150-160,150000,160000,2931818496,293.1818496
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,160-170,160000,170003,3176660992,317.5708279516145
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,170-180,170003,180000,3220439040,322.1405461638492
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,180-190,180000,190000,2581856256,258.1856256
split16,16G local / 16G remote,stream_read_32g_split16_4kstride,on,190-200,190000,200000,1988362240,198.836224
